date,Los Angeles,New York,San Diego,Dallas,San Francisco,Boston,Atlanta,Miami,Tampa,Honolulu,U.S.
2023-11-12,-8.685833333333333,-1.6170000000000004,-8.701666666666668,5.671666666666667,-23.125,-1.5770583333333328,9.599166666666665,8.692749999999998,13.419166666666667,22.891666666666666,12.191666666666666
2023-11-05,-8.866666666666667,-1.023666666666667,-8.871666666666666,5.43,-23.566666666666666,-1.3687249999999993,9.0625,8.876916666666666,13.352500000000001,24.525,12.083333333333334
2023-10-29,-8.270833333333334,-0.713666666666667,-8.282499999999999,5.899166666666666,-23.325,-0.38289166666666596,9.704999999999998,9.844166666666665,14.1325,24.725,12.591666666666669
2023-10-22,-8.6575,-0.5996666666666671,-8.930833333333334,5.445,-23.416666666666668,-0.6620583333333326,9.200833333333332,9.245833333333332,13.252500000000001,24.416666666666668,12.0025
2023-10-15,-8.298333333333334,0.7744999999999995,-8.66,5.9275,-23.216666666666665,-0.42039166666666605,9.019166666666665,9.270833333333332,13.510833333333332,24.808333333333334,12.185833333333333
2023-10-08,-8.136666666666667,1.5428333333333328,-8.745000000000001,6.0275,-23.858333333333334,0.664608333333334,7.605833333333332,9.8225,13.219166666666668,23.3,12.1775
2023-10-01,-7.685833333333333,2.5936666666666666,-8.544166666666667,6.0575,-23.841666666666665,1.0683333333333342,7.056666666666665,10.684999999999999,13.07,23.466666666666665,12.294166666666667
2023-09-24,-7.364166666666668,3.163583333333333,-8.238333333333333,5.3515,-23.25,2.6241666666666674,6.298333333333332,11.368333333333332,13.186666666666666,23.058333333333334,12.3525
2023-09-17,-7.325833333333333,3.0208333333333326,-7.931666666666666,5.234,-22.866666666666667,3.440833333333334,5.451941666666666,11.166666666666664,13.020833333333334,23.591666666666665,12.063333333333333
2023-09-10,-6.9075,2.8479999999999994,-7.741666666666667,4.9206666666666665,-21.508333333333333,4.109166666666667,4.518774999999999,11.695833333333333,12.803333333333333,23.691666666666666,12.155000000000001
2023-09-03,-6.623333333333332,2.899416666666666,-7.784166666666667,4.944000000000001,-21.224999999999998,4.731666666666667,3.528774999999999,12.074999999999998,12.628333333333334,23.783333333333335,12.046666666666667
2023-08-27,-6.186666666666667,3.191916666666666,-7.6416666666666675,6.122333333333333,-20.916666666666664,5.409166666666667,3.8512749999999993,11.35,11.336666666666668,23.35,12.255
2023-08-20,-5.800833333333333,3.7627499999999996,-7.2941666666666665,6.511499999999999,-21.091666666666665,7.241666666666667,4.4904416666666664,11.899999999999999,12.086666666666666,21.541666666666668,12.496666666666666
2023-08-13,-5.299166666666666,3.7927499999999994,-7.095833333333333,7.122333333333334,-21.758333333333333,7.627500000000001,5.165441666666665,12.366666666666665,12.653333333333332,20.091666666666665,12.413333333333334
2023-08-06,-5.360833333333334,4.359416666666666,-7.003333333333334,7.610666666666667,-21.099999999999998,7.7925,5.379608333333333,13.025,12.844999999999999,20.416666666666668,12.296666666666667
2023-07-30,-5.076666666666666,4.475416666666666,-6.348333333333334,7.898166666666666,-20.90833333333333,8.875000000000002,5.7421083333333325,13.773333333333332,13.475000000000001,20.858333333333334,12.685833333333333
2023-07-23,-5.6258333333333335,3.2562499999999996,-6.8583333333333325,6.6850000000000005,-21.241666666666667,9.405833333333334,5.773775,13.865,12.628333333333334,19.491666666666667,11.906666666666666
2023-07-16,-5.434166666666667,3.4895833333333326,-6.299166666666666,7.335833333333333,-20.566666666666666,9.279166666666667,6.407941666666665,14.281666666666668,12.611666666666668,20.716666666666665,12.340000000000002
